"Government revenue, percent of GDP (% of GDP)",Country code,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ireland,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.36359978,,,15.24160004,,17.41500092,,27.50930023,,,21.5583992,22.07959938,19.84199905,19.54299927,19.37459946,17.90880013,17.31480026,16.8586998,17.78960037,16.76650047,17.56380081,17.1140995,19.54199982,20.51409912,20.68040085,17.93899918,18.06290054,19.55220032,20.8845005,19.61339951,21.5564003,22.03100014,22.18639946,21.43499947,27.16900063,28.84009933,28.77490044,30.73189926,31.49150085,32.32749939,34.63159943,36.61169815,37.31129837,39.13750076,40.4858017,41.83269882,38.26100159,36.46609879,37.34429932,37.12950134,40.48860168,38.12390137,37.93399811,38.63439941,42.62870026,41.99010086,43.54840088,44.08769989,43.25400162,42.54489899,42.43730164,42.93320084,43.62929916,39.85430145,40.03430176,41.58010101,41.90000153,41.92490005,41.93659973,39.30870056,39.25360107,38.29550171,36.60020065,36.49349976,35.92900085,33.9695015,33.05089951,33.55319977,34.88629913,35.42259979,37.18349838,36.69910049,35.45280075,34.71680069,35.51079941,33.38335615,33.85897567,33.56587155,33.03497096,26.0970898,26.75355974,24.98164519,24.83723026,24.27425829,21.83457855,22.22230151,22.27833491,23.62798702,26.39345835
Israel,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.065540314,9.567040443,10.02799988,11.00370026,12.39890003,19.56069946,16.5781002,16.01280022,20.40579987,22.83250046,23.7602005,24.4307003,23.59620094,22.44059944,24.55039978,25.08449936,25.24810028,26.21750069,27.71839905,25.82259941,25.59609985,,,,,42.39989853,46.91579819,48.82379913,47.53990173,53.39550018,49.82910156,48.37549973,55.81760025,58.2417984,55.98500061,51.06240082,48.21440125,45.30099869,38.89709854,38.45980072,37.11899948,27.35960007,36.07099915,36.54090118,36.07109833,48.55120087,47.20190048,47.78290176,46.97700119,47.37250137,47.40169907,47.38280106,47.57149887,46.04000092,44.92620087,44.53369904,45.31520081,44.8946991,42.35020065,39.3207016,40.47320175,35.88374104,35.10750583,35.63139679,35.98643365,36.35448909,36.11726676,37.2107528,35.5956137,34.88267343,34.10871088,36.66581062,37.2448308,34.27693426,35.5324934
Italy,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.013470173,6.735229969,8.986040115,9.477780342,9.272359848,9.539839745,9.372159958,11.12969971,9.032659531,11.68840027,11.5085001,10.42730045,10.76410007,12.58880043,12.22840023,11.52799988,12.06529999,12.43859959,11.48169994,13.23180008,12.94419956,13.60770035,14.2027998,14.64659977,13.68630028,15.42910004,15.50049973,15.94480038,14.03279972,12.52079964,14.01159954,13.54570007,14.39760017,13.94260025,13.73770046,14.11769962,12.94379997,13.02110004,12.86429977,12.62899971,13.34780025,12.52159977,12.93290043,13.08539963,12.57929993,10.86250019,12.2159996,12.03789997,13.57359982,12.9197998,12.05230045,12.26669979,11.33450031,11.74779987,11.78129959,13.17440033,13.91399956,14.1225996,12.90460014,14.08189964,22.05190086,19.70619965,15.95880032,13.15579987,11.7784996,12.55029964,13.00829983,12.23620033,13.61250019,14.37129974,13.82740021,14.41720009,15.0447998,14.64750004,16.9557991,15.70720005,14.56799984,15.07989979,13.79119968,14.42700005,13.59780025,9.240739822,7.54460001,10.51539993,12.31169987,11.27789974,12.21940041,14.07250023,14.85820007,15.14099979,16.00300026,14.35789967,14.74120045,15.16349983,14.84020042,15.1232996,15.62419987,17.25460052,16.21920013,16.6909008,16.57390022,16.37080002,15.86680031,15.92490005,17.50650024,16.9598999,30.06940079,29.20879936,29.10440063,29.66880035,29.52260017,28.90430069,28.54059982,28.8390007,30.23629951,31.53680038,32.41640091,31.90889931,33.81999969,33.72990036,36.69660187,38.81969833,37.6495018,37.45360184,38.49649811,38.25690079,39.33599854,40.16439819,41.41690063,42.55479813,44.92210007,46.2378006,44.39889908,45.00690079,45.44689941,47.48289871,46.24330139,46.14429855,44.95270157,44.52339935,43.9530983,44.43090057,43.95980072,43.42340088,45.03900146,46.04069901,45.92770004,46.25740051,45.76229858,45.50224996,47.49534417,48.02610559,47.89653212,47.7846758,46.57525328,46.27404852,46.12868895,46.97367283,47.40496032,47.15984951,46.82206306,46.71514833,47.11595439
Jamaica,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.65572168,23.04136296,21.05320439,21.99765647,22.29947756,23.58996426,22.11725347,21.25913379,22.15050926,24.53462103,24.92750709,23.07772136,23.52368768,25.66979043,26.12947079,25.36338225,25.40300797,26.85352086,26.59831342,26.84463615,26.16325846,24.92808643,25.07867434,26.45995482,25.58184516,25.67142957,26.2893767,27.31958156,28.63734929,28.33053783,27.26058119,28.40448816,27.37883966,27.71060175,30.26259468
Japan,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.286720037,1.122280002,1.028249979,1.05302,0.816715002,0.864488006,0.900377989,0.982726991,1.170510054,1.031900048,0.77117902,1.066580057,1.077759981,1.073410034,1.012439966,1.515149951,1.334499955,1.315559983,1.303259969,1.031389952,1.79768002,1.890759945,1.64538002,2.037369967,1.892830014,1.541010022,1.43719995,1.777690053,1.442880034,1.67437005,2.2957201,3.352509975,4.469679832,3.913969994,3.642859936,4.682799816,3.300470114,3.238369942,3.317369938,3.341069937,3.211780071,2.931040049,2.895720005,2.945349932,2.897819996,3.125309944,3.508670092,3.041800022,3.196860075,3.312150002,2.766060114,2.676680088,2.787699938,2.708709955,2.798110008,3.07652998,3.035939932,3.595030069,3.824470043,3.980350018,3.734910011,5.082019806,4.638010025,5.34841013,3.82130003,4.29460001,4.906000137,5.747280121,7.753670216,,,,17.86100006,22.56189919,30.50959969,22.8553009,22.24650002,21.34280014,21.4428997,20.18129921,18.90810013,19.55179977,19.30750084,18.59670067,18.2859993,20.1989994,20.74419975,20.85250092,21.07489967,20.6882,20.89189911,20.48500061,20.7378006,20.95059967,21.05069923,21.98730087,22.97800064,22.96750069,23.83090019,25.86989975,25.56800079,25.21559906,26.38199997,26.30310059,28.1760006,28.79579926,27.65700298,27.91815612,27.89261079,28.57572773,29.03436093,29.03504348,30.28032291,30.38908107,30.42046499,31.4178129,30.97335714,30.86777982,29.74655192,29.02156949,29.1086352,28.93935716,29.5552183,28.58627087,28.81847649,28.66871441,28.99350499,28.05583906,27.60512221,28.36400543,29.08104476,30.02788646,30.221719,29.99758632,28.99263828,28.66910529,29.64110894,30.44154489,31.16681993,32.77291099,33.61743642,33.62966659,33.58726606,34.26729888,34.24905303,35.46151821,36.34778923,37.53656974,36.91242889,37.57260232
Jordan,JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.47049473,31.45038002,28.67690628,31.22921839,35.62309653,36.51180268,34.74319262,37.33861196,34.28362718,31.98950736,33.81731223,32.99999512,30.92313948,29.45841082,29.96541936,29.12439297,29.30635935,28.42720149,33.48873316,35.49475647,31.90883864,30.84025392,32.2621563,30.3729924,27.27574333,24.35517981,21.80907627,18.37104888,20.25441523,23.68249528,24.59139732,26.12187365,25.97788303,26.19639071,25.16649034,23.5629969,25.60015383,26.47522996,26.01953949,25.71509916
Kenya,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.10999886,12.46107008,12.32140584,12.53738842,12.31451993,13.20736467,13.96545755,13.92025831,13.90322161,9.87614268,9.325367288,10.34779606,14.65452288,17.09885197,14.72828406,14.6450175,15.31505395,14.52504283,14.47493981,14.41201367,14.35630653,15.28600238,15.95038717,16.05597838,16.87836743,17.12195843,16.96393018,17.14968936,17.87008404,16.47958355,16.81008973,17.98452898,17.67152073,17.14451715,17.89141151,17.80245884,17.54343089,17.00018508,16.66756134,16.81922567,17.10360847,16.9895705,17.49402701
Kiribati,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.929846,85.93325947,66.7155734,61.52597289,55.32549877,64.47943164,48.15168449,76.82704952,89.32444744,75.8049399,65.97368949,90.41849741,100.0118137,75.48257779,84.55709889,85.66527453,69.84666439,64.82609843,63.54586438,66.10214161,67.93923886,63.30025012,78.47517443,89.74008028,136.2037922,133.4659091,119.1107335,126.1445281,114.012142,119.0801905,105.7970695,73.27764527,69.22716081,95.4477038,76.07595255
"Korea, Republic of",KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.35429955,10.47420025,10.89669991,11.31919956,8.140589714,9.593759537,11.90629959,12.69480038,11.72920036,14.44519997,11.12240028,8.022749901,9.62154007,11.68369961,13.8409996,16.18190002,16.99090004,16.98250008,17.17399979,14.12580013,12.49969959,13.27869987,15.16390038,16.10899925,15.8902998,15.42269993,16.77409935,17.23360062,17.30019951,17.41449928,17.09530067,16.3348999,15.98620033,15.66020012,16.02529907,16.72299957,17.27400017,18.13120079,17.32719994,17.87919998,18.27540016,17.45849991,15.67094336,16.34032366,16.18905909,17.12494349,17.29108651,19.92611264,19.36118146,19.11455926,19.37729075,18.58656742,19.10868987,19.90038475,21.30314692,20.68284331,19.77829459,19.467035,20.00565107,20.4531998,19.80574537,19.41946608,19.29662403,20.06997717,20.71409254,21.70221786,21.61860395,21.5545893,24.07830658,25.18846866,22.41415895,21.75021571
Kuwait,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.94572255,63.89831669,49.59067935,55.11042109,59.5476311,63.70658359,67.0806844,73.30179257,71.21425091,72.65072987,82.43081712,86.57589074,73.80213856,65.38953417,67.85061907,67.75186756,60.27615723,67.51430801,62.20851645,74.18226808,77.37466562,78.43886765,78.83476081,79.01530219,75.01506845,71.94494323,67.19817667,67.19221484,68.64208523,63.24447115,63.04424955,58.3316518,69.57268312,76.55041908,74.19938114
Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.35900634,19.51713354,21.84962329,23.972483,22.3594888,19.51846617,21.34077617,23.44973636,22.90807929,23.56536823,25.27702382,27.03419534,30.87230258,29.80821919,32.91896564,31.16010154,32.66281453,34.72186422,34.44764806,35.43978697,35.56689201,33.13284958,33.28721752,32.4695953,30.76639063,29.01129435,31.37049114,34.7256699,34.48251848,35.57637033
Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.43573701,36.8860163,34.47766436,32.99471228,32.77671449,32.76647507,33.76436276,34.74828931,35.06443711,35.39137257,34.89658258,36.45000852,36.9936416,37.85054946,38.73592187,38.09568029,37.43965221,37.12327722,37.0035652,36.9812794,38.63823829,38.58209181,38.7942652,38.87177753,39.59698422,39.69270431,42.64206535
Lebanon,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.816326286,16.08765343,12.14285956,15.84914937,18.19881152,17.45953201,17.89243983,15.99538439,17.41281239,18.84645403,18.89993541,17.90071893,20.59307049,22.4568426,23.46623942,22.85000154,25.56061177,24.2653528,24.4686425,23.98860894,21.68512959,22.87568456,21.79468637,20.09150137,22.61681172,19.17516474,19.39851379,21.91639043,21.02633003,20.77164177,15.82828617,8.254335155,5.627293389,13.1804331,16.29504757
Lesotho,LSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.86880347,29.02528614,31.63394012,34.47058672,34.07563129,37.45018135,33.46793735,39.65235797,41.72337707,41.05363782,39.98470713,43.57840066,45.89320055,47.19219785,43.61514439,44.84932677,39.5983305,35.47736394,38.3162983,38.68393008,38.79068384,40.64656357,42.30834093,42.07361761,54.78870354,58.86896207,62.16685601,62.28490084,53.83216902,50.32621224,62.71179328,55.77426634,53.26010859,50.36865756,44.68523057,48.42451714,47.50713874,47.84258199,55.61885187,48.82832425,44.4392861,56.66993513,62.52494763
Luxembourg,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.69526077,44.91575174,46.81002448,46.89928644,44.98875086,43.52543494,43.76172529,43.79175646,43.61235664,42.28256011,43.23338067,41.30609713,41.74485947,41.29408942,42.48261239,41.69875975,42.1540315,42.31787681,42.079459,41.94419129,41.66937557,41.93477797,42.64416663,45.49286134,45.75054074,43.94752183,43.40884042,44.49598077,45.58688676,47.89690915
Madagascar,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72848499,8.204100055,7.314108523,7.396092158,7.849648576,9.459693704,8.827760933,8.267166604,10.85807019,12.1289782,12.85156913,9.085019276,11.18335936,10.73779538,9.463290218,9.411538523,10.42510792,12.45597795,11.62533441,13.05699101,12.99427539,11.69566166,8.350475307,13.24198485,17.4686156,15.87843676,12.76283283,13.77893233,13.98795123,10.24707777,11.52013963,9.997886196,9.278439015,9.29912629,10.59406308,10.17888426,12.43833116,12.83949016,13.0132314,13.94074427,12.39824031,11.07045916,10.78773458,13.72477422,13.73311552
Malaysia,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.67355053,28.99475429,30.0148679,28.05329978,28.71825706,25.70026537,25.66039921,25.99522993,22.48630426,21.6398227,19.57959183,23.86265657,23.18427188,23.47212752,22.5309993,21.70486203,22.97232443,23.31784621,23.51527477,25.00939534,22.28540122,23.52019211,25.40255327,24.30187564,23.32852953,22.16229643,20.25479108,19.63123315,20.15527975,21.56685779,20.13851466,18.41834148,20.08314162,20.94091461,19.91103724
Maldives,MDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.56085197,27.48010823,23.48873664,20.8418108,25.83419743,25.66243214,25.26380073,23.76136878,23.65167871,24.99504791,25.1527546,25.68345308,25.60868064,22.92912837,21.80862731,30.97769035,30.52240625,31.65420203,25.64405454,19.05726351,19.61315652,23.1298303,22.86168413,23.50372674,26.66624848,27.27303949,27.41194897,27.33582675,26.71756122,26.37615038,26.65616749,26.44582512,30.82666107,33.50405432,32.17855105
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.86960944,64.0471545,57.72204341,64.3555676,66.65044468,60.30288578,63.44947607,52.93108266,63.05287461,61.41533605,67.5148624,67.96530005,64.56935351,62.73449036,58.04817448,52.45013447,54.77413,52.39829147,59.10694399,60.62803861,68.08027234,63.0031215,63.70718969,70.34290624,69.97564157,68.4099214,69.52287245,75.19259034
Mexico,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.466969967,4.453209877,4.844500065,10.27429962,7.026140213,4.707439899,5.322509766,4.901959896,4.235879898,4.199769974,3.741940022,3.37112999,3.668119907,3.345309973,,,,3.466909885,3.357569933,3.819590092,5.017370224,5.371220112,6.100220203,5.723969936,5.892509937,6.146210194,5.650030136,5.915380001,5.978479862,6.62142992,6.191090107,6.06923008,6.61259985,5.896349907,7.106719971,6.894269943,7.201650143,6.632349968,6.015659809,7.270390034,6.994790077,7.203209877,6.984360218,8.377449989,6.887929916,6.82679987,7.203720093,6.624120235,6.827589989,11.34399986,8.571499825,9.075860023,10.35859966,7.900730133,8.678720474,8.745289803,8.934709549,8.204910278,9.005310059,7.35145998,8.137729645,7.137489796,7.47329998,7.588290215,7.775939941,8.235170364,8.411959648,8.307049751,8.892399788,9.049860001,9.228599548,9.183469772,9.562140465,9.987099648,10.44789982,12.09039974,12.3270998,13.03219986,13.81879997,14.31120014,15.7840004,15.21860027,13.25189972,15.59490013,14.01599979,14.1541996,13.94190025,15.03670025,14.8373003,14.46759987,13.99540043,13.57730007,14.01519966,12.25319958,12.20499992,12.95769978,17.14929347,17.26107852,14.98678262,15.64758726,16.701286,16.97373228,17.58617004,19.26113057,19.11297389,19.72205843,20.35067896,21.06267575,25.82067595,22.58119796,22.6783213,23.41794394,23.43369923,23.10944822,22.57812152,22.69858418,23.8411119,23.98413224,22.83115012,22.99703148,23.49274135,22.93716224,24.18670743,24.23171946,24.59369061
"Micronesia, Fed. States of",FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.78735028,73.7738701,66.93993887,69.09441763,67.78286665,63.91991308,58.72397344,66.75728147,70.14634834,56.35900363,54.58119795,55.72632039,56.59294283,58.24809454,66.22712771,68.91118875,65.32320023,66.71247475,63.0970056,65.9915145,66.91305284,70.02320121,79.49100891,81.21925272,76.80733453,67.00634071,70.9738601,73.71715064,62.93402842,66.15840044
Moldova,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.44198163,35.8723124,38.4799778,37.57238043,30.37947162,30.47912046,29.16295179,29.56046895,33.97381462,35.40078342,38.56022127,39.87812608,42.86016072,40.62757836,38.917178,31.91803238,30.51255381,31.73681603,30.87719702,32.17242354,29.76021466,28.89552791,30.32794783,30.67549675,30.51990102,31.36942089,31.96415988,33.32797026,33.70049059,34.07241122
Mongolia,MNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.66695727,21.02252602,24.95284874,22.44027022,21.62863667,21.73925951,22.73952549,23.85132222,23.2941068,28.70734903,30.85749917,30.76524921,30.28247873,30.2018629,27.54838999,33.77753093,37.93872887,33.10726887,30.25497378,32.00086122,33.91794893,29.8160552,31.22379006,28.41817232,26.13433054,24.38243257,28.46090326,31.25983927,31.82178779,27.88389507,32.84623628,34.39373608,34.6202846,38.89601184
Morocco,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.26297803,19.90197432,20.43706339,21.10872192,19.22824673,18.73215385,18.45639727,20.09704577,20.21919983,21.6377956,20.78096461,19.91194995,21.44523984,20.35488617,21.16473986,23.18124527,24.17896382,26.31398585,28.8808579,26.47670146,24.77708704,25.15532046,25.90913967,25.7292221,25.89702972,23.89895678,24.12511229,24.57800756,24.24320365,23.81112671,26.99807963,25.0911367,28.35078514,27.56039557,29.12313926
Mozambique,MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.73831949,16.40314667,23.43613902,19.56797209,17.47880824,11.35747852,12.12680558,15.64125229,20.57517673,22.81682545,16.54867148,15.32368915,19.20854641,18.12521826,18.93733415,16.2987305,12.80737339,14.73707181,13.86946008,15.29465558,15.93391505,16.33348481,15.25228834,15.97195353,14.59963883,14.92479666,17.10592173,18.72987302,19.39768704,21.34420416,23.2143996,24.56367265,24.66503518,29.24878459,29.98019094,25.61112947,23.67433066,26.60474875,25.46569366,29.70849464,27.66572316,26.8895919,27.67932559,29.07397263,27.06935064
Myanmar,MMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.31052634,18.32801658,15.41064058,12.73917499,11.30791791,10.10284331,9.936677174,11.15845184,12.17982887,12.2014415,11.67066741,10.89469697,10.38030888,10.7852129,17.25359049,22.35941293,23.67488618,19.40569572,18.73486832,16.27265358,15.94886213,15.84474712,14.80515565,18.42878073,18.51220681,16.23018264,15.60590081
