"Government primary balance, percent of GDP (% of GDP)",Country code,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Saint Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.919695695,3.216379489,2.69254378,2.286249675,2.877923899,2.683903004,0.099860084,-0.13275995,-2.630379963,-8.073519095,-9.441767795,-6.613929927,-6.332846728,0.220463482,-0.639007019,2.870863933,4.881612674,5.221786929,4.542635634,4.801436286,1.965094268,7.197533077,9.624460811,14.42118477,10.97652127,7.635014992,5.332954846,3.07980729,3.123578989,0.490285376,-1.697281691,6.628118712,-2.917599685,0.916942922,-9.773559936
Saint Lucia,LCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.331981167,-0.630636969,1.709416111,2.879244287,1.621683265,0.834249061,0.065326214,-0.108067092,0.320726648,0.506150001,0.454502163,0.08972037,-0.379154346,3.113891328,2.559320366,0.188755902,-1.448291856,-1.398364576,-1.155772464,-0.298507842,-3.432817172,-2.73387835,0.718568177,1.583326205,-0.299774622,-1.594409116,-2.863838203,-4.721711679,-1.692797262,0.063302212,0.835974739,2.314789225,1.856086496,1.940620594,-0.491511955,-7.567178569,-1.669245708,1.253324182,0.228845758,1.097873552
Saint Vincent and the Grenadines,VCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.840731099,5.291454771,3.366303143,2.300065243,1.409161787,-1.033722004,2.264152673,0.373715569,-2.50126752,-0.560202717,1.171995449,2.460850719,2.832014701,-1.409298988,-0.344601493,0.07164895,1.401699742,0.378134975,-0.018299687,-0.480066709,-0.851497163,-1.992059639,-0.636183322,-0.746600387,1.073107097,-0.205632067,-0.851551409,-1.108530799,0.430434069,-3.493565736,-0.626712505,0.088995912,1.983247998,0.56878398,0.443827572,-1.244894348,-3.711830505,-4.673489106,-7.028609403,-9.382687795,-9.755488535
Saudi Arabia,SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.543274425,-5.227748615,-6.172735378,-5.285147068,-1.490260218,0.728385317,1.435322018,-4.25228421,-1.555638737,7.68685247,0.64140347,-1.96899674,4.658467599,12.32745978,20.12952877,22.78470072,13.13654434,30.71817332,-4.514652766,4.943315145,11.70184425,11.89649297,5.628835201,-3.283870098,-14.8440222,-13.00352288,-8.248700331,-4.756672504,-3.334654335,-9.370122676,-1.250059497,2.892601518,-0.94358657,-1.529810714
Senegal,SEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.616544735,4.551904949,2.6560124,2.691217835,1.851614472,0.431911124,1.842593071,-0.805653693,1.009568289,0.36092326,1.063251481,0.441580439,-2.974657283,-2.285736112,-3.017209242,-3.066547048,-3.184222774,-3.68905241,-2.990746344,-3.123955579,-2.556125142,-2.143697003,-1.609040898,-1.050911651,-1.668994324,-11.47559723,-7.393420356,-11.42260441,-13.67931765,-11.43730938,-9.282464948
Seychelles,SYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.107865848,-3.183222545,-0.597559963,-7.080266386,11.18276973,20.45796613,16.35095874,19.89731076,11.09034897,14.29857735,4.272764294,1.400933154,7.118733937,0.370795536,3.85357471,-6.545985069,-1.140461938,-7.286463097,-1.642096409,-8.643308837,10.32234057,6.911146266,6.843620263,2.809088901,-3.349549008,14.75005677,13.89099811,6.607267891,6.405438507,6.652591153,5.260400101,5.160525709,4.345140578,3.435824594,1.087346839,1.97419156,2.553157379,-13.11693276,-2.81839006,1.31218152,1.709521887,2.419458488
Slovak Republic,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.096975204,-7.22488662,-3.842398203,-2.818362648,-3.861719007,-8.643462317,-3.748473357,-4.785604284,0.253331651,-0.162837061,-1.118428511,-2.10598236,-0.840606135,-1.18806942,-6.726073761,-6.157732232,-2.810298565,-2.585466753,-0.961112071,-1.319840182,-1.029284788,-0.911155871,0.451740401,0.334197721,0.027182075,-4.124761717,-4.011929346,-0.121952871,-3.998715312,-3.861339296
Slovenia,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.09929507,0.890452905,-0.029374019,-0.236594344,-0.717809369,-1.375194187,-2.232825157,-0.276720263,-0.705382581,-0.285548614,0.185430555,0.140919781,1.190145663,-0.324571235,-4.53470945,-3.900052149,-4.771329611,-2.147015607,-8.617613682,-1.222401391,0.441628414,1.073895614,2.591406552,2.925494475,2.311006822,-6.096018931,-3.375973432,-1.887780934,-1.34785324,0.359547362
Solomon Islands,SLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.267596975,5.195869948,2.2216066,-0.77832057,-2.260356613,-3.575403587,10.93342369,17.96937196,14.11412992,13.49293363,18.28562724,2.784754631,2.875343462,6.364157293,6.506395288,4.843749333,3.728102055,2.26327717,0.919556122,-3.460033124,-2.153337911,1.568919868,-1.370988974,-2.241891378,-1.641483852,-2.164647531,-3.508494311,-2.619279414
South Africa,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.245340109,-8.494989872,-7.237798929,1.090379715,-0.117330551,-0.42304945,0.173520565,-2.838800192,-2.105920553,-0.551300526,-1.79865098,-1.07207942,-1.229049683,-1.0305686,-0.113790274,0.402670622,-0.661060095,-0.99821949,-0.752540112,-0.188809872,1.325798988,0.658810377,0.159960508,0.344179869,0.567630053,-1.225169897,-0.271360636,-8.514710903,-4.794569731,-6.63918972,-6.124109745,-6.543439627,-4.980818987,-1.666499376,0.135968685,-4.485868812,-5.724609494,-1.311958551,0.563516021,-3.208349049,-2.791621149,-1.675440669,-2.062402368,-1.227200508,-1.879743934,-2.553968012,-3.48228085,-1.685693383,-2.526527405,-0.671335876,-1.603564084,-0.70504114,-2.448257089,-2.297116637,-3.003365934,-2.341111064,-2.80838871,-1.865979671,-0.750870705,-4.121099353,-3.276411414,-0.16872108,-1.468070269,-2.975929499,,,,0.498910904,-1.095209837,-0.938778877,-1.909830332,-1.429419756,-0.913801193,-1.60311985,-2.233000278,1.034740448,-3.881950378,0.646019936,-0.212370872,-2.136088848,-3.21985054,-2.680270195,1.092281818,1.044530869,1.715639591,3.639359951,4.317559719,2.970503023,3.022786649,2.527555366,1.51749471,1.886599394,2.847512088,3.500755911,3.625688554,1.74058924,-2.463837125,-2.154173867,-1.296467102,-1.504893598,-1.177019206,-1.061876744,-1.338642946,-0.531113193,-0.691386482,-0.240813566,-1.365157999,-5.411614424,-1.234848936,0.337662579,-0.549200276,-0.532698045
Spain,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.870170355,0.391336918,0.754459739,0.813478947,0.749630332,0.282489896,0.768130064,0.83409977,0.837140322,1.731220603,0.41956985,0.098639607,0.415739775,0.623030424,-0.152230024,1.164340019,1.661879778,1.925879955,2.143740177,1.999619484,1.557770252,1.248099804,1.0758605,5.269200087,0.963899612,-0.220719934,2.48690033,2.562930346,2.728789806,2.754880428,2.730000019,2.739000559,2.450479746,2.235129595,2.461029768,1.990869999,2.658650398,2.312139273,1.658000231,2.213759899,2.772129536,2.818469286,2.57357049,3.389640093,3.429239511,3.386470079,4.012680054,2.974139929,3.531880617,6.369609833,4.03587985,4.107170343,4.461709976,4.348609924,3.801989794,4.101249218,4.271510363,3.896639585,3.857410431,2.915169716,3.431170225,3.296620369,2.717860222,2.799309731,1.842940569,-0.330840111,1.083709955,0.895600557,0.182399035,0.120850086,-0.663520217,-1.204159498,0.050919533,1.475499868,0.736670017,0.959809303,1.828739643,1.779910088,2.091570139,2.184319973,2.605820417,2.559539795,2.254610062,2.059749603,1.363410711,2.063999176,,,,,-1.728779793,-1.42874074,-0.631799817,-5.49924016,-3.426170588,-2.882458925,-0.659069896,0.360390544,0.292590261,1.169399738,0.837409973,0.823780537,1.761140168,2.190959454,1.796629906,1.768109798,0.990249634,2.011085272,1.162206054,1.321112275,1.471268117,2.60994947,1.866837621,-0.065169811,0.640238047,0.49922502,0.529504985,0.11424464,-0.011254191,0.497286856,0.629232287,-0.477064192,0.727846026,1.631769717,0.521942616,0.400308236,0.532139041,-0.091991797,-1.438038558,-1.287015647,-2.288787067,-2.657050014,-5.35528183,-3.956130087,-3.798609138,-3.296659708,-1.897959709,-0.669400215,-0.07205987,-0.339258909,-0.51162076,0.926779032,0.509788752,-2.49161005,-0.832208157,-2.076278687,-0.27641964,0.676489353,1.185909748,2.27516222,2.28537178,2.507822752,2.476380825,1.999261856,1.91711998,3.054498553,4.008397341,3.530891418,-2.893261671,-9.40784061,-7.428461194,-7.220896612,-8.479734817,-3.915655602,-2.562974698,-2.245582792,-1.52845097,-0.594346783,-0.157967328,-0.778090627,-7.800027276,-4.539715121,-2.320507202,-1.132490431,-0.702552169
Sri Lanka,LKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.138931005,-3.127333204,0.033824462,-0.833091396,-2.037800807,-2.431401176,-1.686628084,-0.638421849,-2.377910574,-0.992945159,-3.150609694,-3.003514661,-0.884348875,-0.348611196,-1.480188131,-1.792189462,-1.57619894,-1.493175229,-1.858122984,-2.913973443,-1.4091658,-1.247831443,-0.895130778,-0.537139315,-1.941692268,-2.080930842,-0.229696868,0.014401571,0.595501518,-1.854256128,-7.092653453,-5.730931857,-3.718451504,0.632143414,2.175045351
Sudan,SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.08278628,-25.6951171,-23.5237515,-7.453214877,-1.064822868,-2.46113076,-1.656114982,0.035569611,0.107255961,-0.051628278,0.326177191,-0.121311538,0.384920727,2.078364486,1.33643927,-0.870038055,-0.377195939,-2.093061459,1.294500672,-2.861159051,1.086514617,-1.270042738,-6.250186147,-5.279533503,-3.91949594,-3.16105969,-3.509363775,-5.607245386,-7.686188689,-10.60251611,-6.006370824,-0.245060924,-1.961945626,-3.666610439,-3.314428191
Suriname,SUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.532931166,-7.110971435,-4.120288332,-2.711736577,-0.761928763,1.576874019,3.908408636,-0.296774698,-6.388928468,-4.917117602,-7.67548084,3.981867274,-2.574201242,1.378041555,-0.452177945,-1.600420895,1.997309852,6.14025564,2.98664031,3.198184124,0.65378887,3.222253658,0.524648182,-1.400211914,-1.8252434,-6.871234591,-7.690265155,-5.453801908,-5.472447255,-17.34720611,-8.309498775,-0.542327747,1.031212808,1.411681763,0.336558028
Sweden,SWE,0.8203125,2.993181646,12.50468701,0.561110854,1.266176641,1.214685142,0.69738555,-4.482248366,-7.124176085,-2.463590145,0.129301965,4.015354753,0.03206113,-0.071691424,2.700359672,0.424295932,0.596896574,0.595205456,0.314285636,0.486468613,-0.253846034,0.212099582,0.594117358,-0.016207054,0.382565945,0.566349193,0.013513476,0.217350289,2.804701775,-0.346808545,-0.001149364,0.120613083,0.207082435,-0.012640491,0.194101483,0.043044701,-0.261439443,0.194642484,0.080861278,0.064476915,0.135662556,-0.043128148,0.136792667,0.091943026,0.120803446,0.200875066,0.148427591,0.196727954,0.168993786,0.074502267,-0.007378999,-0.252873424,0.228908781,-0.139228556,-0.046676107,-0.039277129,-0.589610327,-2.328015748,-2.109605148,-1.82496877,-0.835817337,-1.086956739,-1.301618367,-1.987470925,-1.612050861,-2.540280789,-0.656243145,-1.064028203,-0.93656373,0.139148533,0.776284754,0.357106209,0.477108777,-0.649719357,-0.820331812,-0.579793632,-0.639620364,-1.355392635,-1.123131812,0.268095195,0.49452126,1.047037363,0.80810976,0.922173619,0.618405938,-0.199766815,-0.725521147,0.69062537,0.916833341,1.096807599,0.041727066,-0.031786203,0.181599557,1.153450727,1.646790147,0.010211229,1.632002115,1.413060635,1.050346792,0.16971603,-0.776795208,-1.010866225,0.599740565,-0.046697795,0.216872931,-0.175284892,-0.183801591,-1.688471735,-1.446598232,-0.196386099,-0.283502877,0.137965083,0.428008258,0.126684308,-0.23079747,0.430953801,0.425443172,-7.891429543,0.731967449,-0.08257246,-2.837307751,-2.237868845,-1.187393934,0.062184334,-0.460576177,-0.102550626,-0.111564636,0.982597351,0.589180171,1.068008065,0.960689187,-0.493147135,-2.917470336,-0.704400778,-1.117126346,0.337451279,1.321400881,0.731943548,-0.374682307,-7.382393539,-12.02245021,-10.56683087,-9.348065138,-7.14294517,-6.445195079,0.707214713,0.261077166,1.516771078,0.476933479,-0.552592635,0.018839896,0.70336014,-1.732974291,-0.723155379,-0.951867998,-0.335884869,-1.238574147,-1.284125447,-1.501879215,-1.502810836,1.814765692,1.870074153,1.364121258,0.785623074,0.686835647,0.495097578,-0.616332889,-1.501125157,-1.034781992,-1.477461815,-0.388230085,-1.019310236,-2.095432401,-2.938290834,-2.635055184,0.139156461,-1.607032776,-5.310738087,-7.689243078,-8.149357796,-7.749845505,-7.946036339,-6.718287468,-2.617376328,0.967952728,2.474112511,5.757223129,5.349030495,6.891580105,5.615893364,1.462952137,-3.249782085,-6.33,-4,-1.84,2.08,3.49,5.16,4.56,6.39,4.13,1.51,0.87,2.06,3.6,3.89,5.02,3.53,0.44,1.04,0.855480851,-0.152423349,-0.726128102,-1.115835694,0.352569739,1.398720315,1.774644304,1.173187784,0.876113389,-2.850551233,0.137658368,1.568681052,0.123649174,-1.052969563
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263412103,0.099124148,0.024720252,0.181804866,0.241042793,0.197253928,0.584930062,0.321706071,0.132180974,0.078890711,-0.607619077,0.046677962,0.16599302,0.206325769,0.061809048,,,,,,,,,,,,,,,,1.298000216,1.171849847,1.082890272,0.783790112,0.159940362,0.759550214,0.874370098,0.807989955,0.840549827,-0.427290082,-3.875000358,-8.755470276,-7.462379932,-5.802389741,-7.028889537,-7.647339702,-5.652549386,2.557870388,3.139630079,3.016550064,1.66400969,2.868819952,0.913419604,0.087689757,1.466660023,2.482860088,2.027135074,3.091009498,1.481309533,1.357683718,1.397614002,2.553276837,0.851462424,1.407911777,0.665054917,1.163751394,0.423181146,-0.599612385,-0.806329757,-0.48868309,-0.757247642,-0.000991106,0.009680152,0.048619747,0.562238336,0.627480626,1.041761279,0.196409702,0.550400972,0.940079689,0.106389046,0.477980733,1.289901018,0.593580127,0.552481294,1.126490593,1.336948872,2.396080256,2.174790978,1.781990051,1.474559665,1.255239606,-0.317658544,-1.30267787,-1.617720842,-0.736338615,0.129569054,0.178680301,-0.810441256,0.072228789,1.513467908,1.904258132,1.596681714,0.492231369,-0.15690732,-0.27747035,0.754932046,2.196249604,2.920531154,3.435257316,2.016188383,1.533014119,1.428834531,0.921891647,0.173140768,0.30672429,1.081716271,0.708079387,1.529358396,1.612373695,1.634462527,-2.729399878,0.102579936,1.546957514,0.492446178,0.935659312
Tajikistan,TJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.374793796,-3.440212565,-3.189302639,-0.588808066,-0.517473091,-0.504895468,-1.617291698,-2.326915893,2.495826629,2.591959716,2.250912915,0.301155168,-2.216295198,1.122399271,0.966944904,0.244987836,1.485396563,-1.456248866,-2.224277234,-5.211169639,-1.608845957,-1.205449226,-3.416331611,0.22432027,0.46363782,-0.174486347,0.987763144
Tanzania,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39278928,-2.600496154,0.423053142,-0.538879919,0.938049216,3.98137117,1.992197526,1.383513876,0.301830159,0.55787055,0.713727031,0.144139742,-1.066528517,-1.691726802,-2.394546355,-2.507662686,-0.558963491,-1.15372711,-3.821302096,-4.066632194,-2.773638715,-3.031690625,-2.56443779,-1.556710102,-1.712670749,-0.605923409,0.396958112,-0.235977049,-0.309203643,-0.897008398,-1.827570028,-2.00851721,-1.481236479,-0.678678936
Thailand,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.347637996,,,,-0.830812395,-0.323896527,-0.560679197,1.088959217,0.507278591,0.260866821,-0.261384249,-0.402756691,-0.343031824,-0.441506386,-1.298013806,-2.006796479,-1.673968017,-2.719000936,-4.167549133,-3.293101072,-1.231270194,2.549319744,-0.608609557,-2.307260394,-1.847039342,-1.884870887,-2.29693985,-2.949779391,-2.252921343,-4.191149592,-1.594790697,-1.340419769,-2.20021987,-1.236560345,0.454340696,3.151909828,2.536300182,3.251851201,3.004938722,0.870270491,7.462363124,3.370364428,3.559250027,0.957422972,-0.266973615,-2.513854027,-1.622153997,-0.590615577,-0.519016593,-5.382641926,3.07437493,2.365378752,3.391348905,3.233110879,1.275137813,1.912156418,-1.181268861,0.031788678,1.285025825,0.349360272,1.715243499,0.42410531,1.202151117,1.26510503,0.52529187,1.22381599,1.443094385,-3.500809298,-5.482439866,-3.288990889,-0.812066247,-0.094129393
Togo,TGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295144769,0.267629778,-1.658583172,-0.639286372,-6.082840422,-2.955484808,-1.2167017,-1.622645731,0.411395087,-1.843720243,-0.316642282,-2.068348251,0.508819263,0.829318327,2.513518863,1.725159255,-0.951977682,-1.313014959,-0.406203079,-0.058864279,-2.002001959,-1.020916897,-2.333494421,-3.96225116,-4.17761031,-5.860872525,-5.052783953,-5.276186709,1.10246157,1.211323755,3.761613536,-4.69410757,-2.493731971,-5.872441943,-3.949675353,-4.46650295
Trinidad and Tobago,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.535363651,0.643039522,3.40109237,4.555653186,2.529783885,6.087179284,5.485406952,5.153583114,4.128038212,4.78790798,3.192132599,3.781523484,5.206153191,4.85671695,3.774411391,5.689629585,4.806929398,5.069040339,3.769584959,5.264790196,7.471717049,-2.326887061,2.510360486,1.103798652,0.429766663,-1.155965437,-2.672018364,-5.415152988,-7.503565005,-7.670047157,-2.931403976,-0.553907148,-8.350600874,-5.268523467,3.627133107,2.113399575,-1.440789424
Tunisia,TUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.201163527,-0.428804612,-0.061275003,0.436880218,-0.977831038,-1.377660135,-0.426511031,0.147556069,-0.111344395,-0.34104252,-0.216818482,0.10431442,-0.206985754,0.327328754,-0.170526971,0.019547853,-0.206464628,1.3511918,-0.669555865,1.285157709,-1.436481397,-3.183226302,-5.263470445,-1.338674556,-3.117407498,-3.784231144,-3.392683459,-1.78545072,-1.007610791,-5.931766152,-4.772779393,-3.540166715,-3.160645404,-1.90107525
"Türkiye, Republic of",TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.620483309,-2.474625707,0.352651656,-0.44972378,-0.536362797,0.346829593,-0.075688839,-4.6187343,-1.371231467,-2.500183105,-3.148641527,-0.518344283,-0.799511254,-0.145309567,-2.06989038,-4.138424873,-0.307949066,-0.899672747,-0.51796174,-1.060313225,-0.464491844,-3.945495367,-4.277143002,-5.491411209,-1.452839375,3.218513489,1.358783722,1.137289047,6.391441345,7.032924652,4.285551021,5.390354021,3.389007018,5.203610509,5.774486858,6.06736364,5.636020999,4.187445544,2.986081347,0.253797566,1.230241346,2.729485034,1.358861146,1.600115906,1.54239169,1.820259243,0.319800675,0.038367134,-1.01778112,-2.251647898,-1.882631702,-0.427716923,1.006371679,-2.651368455,-1.597503044
Uganda,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006944201,0.10198553,-0.416436174,0.186319627,-0.089781203,-1.011052681,0.323498713,1.625372818,0.916234009,0.306791508,0.089004058,-1.103836033,-0.837965686,-3.943011546,-1.324605958,-1.370872823,-2.125497278,-1.530368692,-1.181432128,-0.581635009,-1.769637089,-1.227998531,-2.71014321,-5.509036912,-4.694400487,-2.443909844,-1.712738836,-0.699788352
